('9187302b-91f6-45f5-91db-f408e2ff43ae', 53.8249945, 22.3619798, 'Poland', 'Olsztyn', '19-305', 'Street', 'Mallory', 30, 57),
('65ca8c5a-aa26-4ec1-bb10-ed08b01272b0', 50.1597084, 21.955679, 'Poland', 'Gdañsk', '36-060', 'Plaza', 'Laurel', 20, 23),
('246cf01b-ef8c-4481-87b0-00f31cd65845', 50.5664031, 19.5697659, 'Poland', 'Warszawa', '42-425', 'Alley', 'Sutteridge', 23, 46),
('f6dc72ac-7bbe-4c42-8249-5733641a9fae', 53.8750218, 17.6581823, 'Poland', 'Sosnowiec', '89-632', 'Avenue', 'Crownhardt', 65, 36),
('691437b4-0f5c-4803-878d-ed32f4f49185', 49.911732, 20.8725617, 'Poland', 'Kielce', '33-115', 'Parkway', 'Lakewood', 71, 30),
('a1fbd810-eeea-4bf2-9579-ef7a4f433f30', 52.7815, 20.11774, 'Poland', 'Warszawa', '09-140', 'Alley', 'South', 46, 23),
('55211a94-d3c9-4bbf-8b3a-8114f3f06852', 54.0058465, 17.7763729, 'Poland', 'Lublin', '83-425', 'Hill', 'Mitchell', 11, 17),
('034206ed-b84d-4122-a6ae-ace50cbce19f', 53.8514527, 18.3991666, 'Poland', '£ódŸ', '83-240', 'Street', 'Kenwood', 77, 9),
('4f840bfe-7fc1-4cf3-921c-ae795c5d20d0', 52.5424757, 16.3067301, 'Poland', 'Bydgoszcz', '62-045', 'Terrace', 'Tony', 56, 29),
('cdc29a8d-9e8d-4ece-8a03-82901515811a', 54.3562129, 17.5647322, 'Poland', 'Szczecin', '77-116', 'Point', 'Bowman', 10, 55),
('b186bd21-4c64-41de-a0df-4b6c8058e861', 49.966003, 21.124684, 'Poland', 'Kraków', '33-158', 'Terrace', 'Onsgard', 10, 50),
('7fd58191-17a2-4cd2-ad99-293c5a463613', 49.7709142, 18.8445446, 'Poland', 'Gdañsk', '43-436', 'Center', 'Myrtle', 1, 50),
('a1ff7c5b-217d-4b5a-b6d8-8f151688fd71', 52.7815, 20.11774, 'Poland', 'Warszawa', '09-140', 'Hill', 'Moose', 41, 19),
('9889b954-1721-47a9-8177-237a779da194', 49.6819305, 18.3673216, 'Poland', 'Bia³ystok', '43-229', 'Parkway', 'Fallview', 58, 47),
