('548b95d4-ac85-4264-ba1e-bde5f3681517', 'email'),
('e537dc8b-50d0-4404-af12-3f5dfdd77014', 'adres'),
('abfd54c5-1d2a-485e-97fb-78447fa04be7', 'telefon'),
('05024082-18a9-44c8-a60c-f48436041ad1', 'NIP'),
('22ae0911-e6f1-42ba-b17c-c054f839e55b', 'pesel'),
('49e95529-a289-4edc-9c95-5aeb8152b791', 'email'),
('57f4e611-45aa-4620-9843-87e3cf16a9c1', 'adres'),
('96481666-f340-4f39-b0cc-c7a939665a9f', 'telefon'),
('c7e2504e-9efe-45cf-aa0f-49ad5e7c08af', 'NIP'),
('dbb79520-d143-490a-9cbc-35f43f141f0a', 'pesel'),
('d362e322-3d2b-455d-bbcf-0fd6c9a50857', 'email'),
('1970afff-ae83-4f87-9e89-8f37f40e56f0', 'adres'),
('2b027eed-40c8-45e7-9413-8b62d0728257', 'telefon'),
('8d323620-7e95-4d7e-bd85-7a41bb5a435b', 'NIP'),
('6ec6c5fa-889a-41ed-8b19-fc12f0dd9eb4', 'pesel'),
('61746361-285c-4ba8-8132-b1b9209930ea', 'email'),
('f4ebf68b-bd36-4f3d-8829-23a2a8a4243c', 'adres'),
('53544e42-f6cc-41ce-b0f4-433ed9073e1c', 'telefon'),
('46a7f207-6432-4505-b78f-dbf1ab96e939', 'NIP'),
('054d8392-e1de-42b4-968f-b993a7eb76f8', 'pesel'),
('7de0e6ea-82bf-4899-b792-9b5ac32837f3', 'email'),
('eb4d6435-9711-491b-bba1-1ebf82ec493b', 'adres'),
('c6deed4d-d3f0-4a5e-9f70-11310ecde9f5', 'telefon'),
('bad552ee-2c27-4aea-a17f-9cddda5af67c', 'NIP'),
('ced89a73-40b9-463d-a42f-0cea2e14e81d', 'pesel'),
('7b0cbf70-c835-4de8-b014-e14bb96a45b7', 'email'),
('23fb61dc-7c6b-42ad-9f10-7bfad44fa183', 'adres'),
('87388f2d-b223-4ffa-a14b-1c5b9ee2c763', 'telefon'),
('1d4e3847-8613-43ec-8b6d-fb37399e97bf', 'NIP'),
('e1926682-6c85-4fcd-b17e-bb9a1cd493fe', 'pesel'),
('a52ae4c8-4151-495e-a6d2-1e46132a79b1', 'email'),
('b39127a9-a369-4b58-8209-95340a2fe8d7', 'adres'),
('456f6583-d704-41d8-9c84-8ea7e123ec95', 'telefon'),
('ba0bab0c-f5fa-4cd9-bf49-45ab369342d9', 'NIP'),
('8dffb50e-5c05-42e4-bf3f-f9ae355c7652', 'pesel'),
('ec9dd09e-d987-4899-81ba-6c88260899dd', 'email'),
('41e22bf7-3186-4f97-be5e-08c3d7946c66', 'adres'),
('96732d0a-7f67-4fac-861b-6fcfa1ff0fe4', 'telefon'),
('81be1572-7a82-48e3-bb44-cb465a0bcb47', 'NIP'),
('84cc22a3-6993-43e5-944d-7bf4df9d4641', 'pesel'),
('8712794e-dba9-4a67-b87d-456793874005', 'email'),
('8f234293-efa1-47b9-b8e9-c83d75b9ba95', 'adres'),
('761a31ce-e90d-461f-bb83-1ba32f6f5728', 'telefon'),
('269c8a55-5d7b-4a56-aa34-17d371a4a567', 'NIP'),
('63f76f40-fe0d-474e-ad04-3fc50085a2f8', 'pesel'),
('3cc98a73-a92f-4092-b3d6-2539f44dce10', 'email'),
('328fd920-1827-4ebf-824f-d3fee88929c5', 'adres'),
('d9e9f091-6544-45c1-b46c-0b53840910a6', 'telefon'),
('14d557ec-6d4b-4bda-bbd1-191da2370908', 'NIP'),
('6383af38-851b-444b-ad8c-8600c5fd8153', 'pesel'),
('9eac2efa-a20d-48c4-b5d5-1057fd5698d1', 'email'),
('0671ae41-ac73-4f48-b460-6f67ff7c744a', 'adres'),
('869dea2b-7c0f-4e70-8dfb-d0425c9a953c', 'telefon'),
('6caa5622-144b-4405-b546-e9b5b6f3e3bd', 'NIP'),
('1931442b-a9b8-4220-9b3f-f03eeff3adb9', 'pesel'),
('c9f7669e-1753-4369-aacd-b42c46d13b96', 'email'),
('aa3cb3fd-4c8a-4bec-a9f0-d42acaca6341', 'adres'),
('562807e2-304d-4f43-b632-d7ebe9ac5a62', 'telefon'),
('83146091-b73b-496e-b678-d43da8a3321b', 'NIP'),
('7ba05be4-19ef-465b-9e2c-d9ead4a711d8', 'pesel'),
('c982df0f-5f90-42cd-a360-c5fffd041f77', 'email'),
('56dc83a6-d47d-4891-a97e-fbd3558995d9', 'adres'),
('8759e865-e5b7-4f52-9618-66634dad3ae4', 'telefon'),
('1f77fd7b-6c0a-4b62-a03a-c06d94b6d2fe', 'NIP'),
('cdbbe493-8f4e-450d-86e4-6e19fc8ece28', 'pesel'),
('25376f97-d558-497b-b12f-5c887df9c18e', 'email'),
('05c4b976-a17b-4376-8872-e5c930b33ec8', 'adres'),
('70ca2a22-226d-4bef-b7c4-33569c273f16', 'telefon'),
('282a57a1-46e4-4049-9c0d-556aa5c48843', 'NIP'),
('d5c7b881-d9a4-40f1-a493-502e0f03f0f0', 'pesel'),
('531a7cae-f77b-436c-aad9-7b425ee7f301', 'email'),
('80dc0ca3-cbdd-476d-b652-ea6f6e264552', 'adres'),
('a56e9225-2357-4d1a-a57d-542e7f70641d', 'telefon'),
('0c816b5f-37ad-4fa2-91c7-7b282a1951d1', 'NIP'),
('4da7e981-39b3-4c9b-a306-a21c8849f028', 'pesel'),
('14ebcbdc-665e-4c41-86a3-09c16a025a72', 'email'),
('561b1074-c4ed-4319-801f-4c6bc8153951', 'adres'),
('378a65af-8bc6-4b0c-bf7f-9005eab7c8a7', 'telefon'),
('24d68e0a-6156-4a40-aed9-58066702b2e1', 'NIP'),
('9a9c3338-5e00-4e9b-8354-6da18f7a08e6', 'pesel'),
('026c2b27-a34e-4ebf-8743-7df365cee698', 'email'),
('2bdd2249-35b9-4041-b955-01cb1a1561f6', 'adres'),
('fa597cac-5639-4578-8eb8-d1e58aad968b', 'telefon'),
('9a1a5a66-1e3f-44a1-afea-cfec3d648cd8', 'NIP'),
