('f9cf0475-58b3-4fa4-98cd-af34b10d71dd', 'poszkodowany'),
('fbf23ff8-e761-4263-903c-1b848354900b', 'poszkodowany'),
('fedcf340-65b4-484a-9727-a147e61aaec0', 'poszkodowany'),
('6c5a80fc-8b42-4461-8187-fbbd4fa56f80', 'poszkodowany'),
('2b623cf8-2c4d-4482-896a-632c78659028', 'poszkodowany'),
('875133e5-8aec-48ee-bfd4-c9c2d542b5a2', 'poszkodowany'),
('942465c5-fd78-4ce7-9f1f-301b4da8dc96', 'poszkodowany'),
('b25d32af-977c-4282-bc3e-ba14206a5af2', 'poszkodowany'),
('1be885ad-7e68-4d1d-a461-d0ea89d8ab34', 'poszkodowany'),
('8facaa3c-ac49-400b-a9d4-990eacd3f18a', 'poszkodowany'),
('633ab3f5-e8f1-47b8-8ce9-38f83c548790', 'poszkodowany'),
('83a455a0-d5e7-4643-84b8-bb563d68b5fc', 'poszkodowany'),
('5e310788-5ae1-47b3-818d-2cf2f4b70b02', 'poszkodowany'),
('5a0155bc-a36d-4c43-b6a3-50a85db53fc9', 'poszkodowany'),
('971fe897-178a-421e-bd2f-8f037c39652e', 'poszkodowany'),
('590038c0-39ef-4ea7-b75c-04067ae917cf', 'poszkodowany'),
('291c9592-2ce6-47cb-b1ee-91d118b1fb5d', 'poszkodowany'),
('a7a1ebf1-6ca0-45b1-a5ed-f8db7e49578f', 'poszkodowany'),
('fd70c4f2-b18a-4fcc-bb4c-34aa1bc9343c', 'poszkodowany'),
('19101519-4f9e-46d5-8bfa-314747a2e606', 'poszkodowany'),
('f3e5e5df-ab32-4136-a704-6b2b19b3de0d', 'poszkodowany'),
('e0f4a1b3-9037-4fa1-8a19-b130a71d16e0', 'poszkodowany'),
('bdbac3fd-3061-40eb-8f24-a7223072c149', 'poszkodowany'),
('c341429f-1c59-4160-8fcc-647b36fea53b', 'poszkodowany'),
('6f3cba1b-2056-46e1-ba7b-5286160c4d20', 'poszkodowany'),
('5076181f-9e37-4670-bf48-33cfb17bd6f1', 'poszkodowany'),
('fa76d892-849c-45a7-91cc-416dee8883d9', 'poszkodowany'),
('a422895a-dbfe-4af7-9efe-70f0d385bdc9', 'poszkodowany'),
('5c8100d3-74b9-4944-bb1f-d360b8fa38ce', 'poszkodowany'),
('e3202058-e91d-45b8-ad6c-585b3158675a', 'poszkodowany'),
('42c24988-511c-47a2-8c64-f795be2324d3', 'poszkodowany'),
('8d7f3814-6088-4daa-9bc3-d27c32b0f901', 'poszkodowany'),
('37c3930e-487e-4994-9080-0885f69101f1', 'poszkodowany'),
('314e8b44-164a-494b-9b0c-3c0b450f9f73', 'poszkodowany'),
('c9f1f015-97f0-478b-a14a-779ba197fa15', 'poszkodowany'),
('0edf4714-f059-44c0-8721-132709430ced', 'poszkodowany'),
('98282362-d614-4b44-9afd-92512c9050c0', 'poszkodowany'),
('a8907e3b-a51a-438b-911d-6f7b43c1e8cb', 'poszkodowany'),
('d79202a8-cc05-4c97-a568-abe3eafa6212', 'poszkodowany'),
('fbe30507-adb3-489b-8aaa-719ff5f78557', 'poszkodowany'),
('dfd75a93-d140-4540-8e83-036c517434f6', 'poszkodowany'),
('bf78190c-c215-4658-9a4f-f7ab31f909c1', 'poszkodowany'),
('6235e346-60bd-43ff-b023-1973a37fb33a', 'poszkodowany'),
('b69ce60a-c65c-4d97-ba17-03789c1821db', 'poszkodowany'),
('6b06588d-a319-4666-add0-4ae54478cb37', 'poszkodowany'),
('6a1b60d6-09ae-4460-b830-94ae3d36c139', 'poszkodowany'),
('60fc55ec-7cb7-4b56-9612-e2d4d3737aaa', 'poszkodowany'),
('679a26db-70c2-45bb-954f-9c28a9c9f297', 'poszkodowany'),
('5d7a347f-2378-4244-bc3c-c525498da989', 'poszkodowany'),
('b190d57f-09c9-4b46-90fc-de28c99837b8', 'poszkodowany'),
('75c2af61-fead-4232-b7e2-04d7933ef12b', 'poszkodowany'),
('c6e13019-3781-4856-b73a-88e3886d0fc7', 'poszkodowany'),
('e4355c3b-eb45-453d-abe3-3dfa70df4884', 'poszkodowany'),
('1e41216a-149b-401d-8b5e-d41d950a7735', 'poszkodowany'),
('4b3fde0f-1ce5-4428-8d93-f511058e6706', 'poszkodowany'),
('1372b17c-1cce-4c81-ae72-4c8ad7f8bbcf', 'poszkodowany'),
('4baf458c-0530-46ee-a76f-30b99ef1e1ae', 'poszkodowany'),
('5e0ae94e-e809-4801-875e-9a7efd5a8203', 'poszkodowany'),
('9af0a933-0bd2-4f7f-a6da-9e2dc5cabd99', 'poszkodowany'),
('93ef1f82-8b78-4058-a889-10ef39677482', 'poszkodowany'),
('be771cbf-d15e-4761-b5fc-d400e3e2e7d3', 'poszkodowany'),
('8d613ef4-2f9a-4b47-b3d5-363bea9e4517', 'poszkodowany'),
('fce6ef6c-cc5e-4250-83bf-64baa579a923', 'poszkodowany'),
('1dc23e2c-b53f-43e3-9b80-34ea79f3b8a1', 'poszkodowany'),
('f06bcef3-2022-4cf2-aa7d-8c541f154152', 'poszkodowany'),
('821451ac-8d60-445a-b67f-3193a9d9eb1c', 'poszkodowany'),
('a0c29acd-718a-479c-981b-cc91d10c1013', 'poszkodowany'),
('ac46f330-fdea-48de-9f4b-6208c19a183b', 'poszkodowany'),
('34a85f51-4391-4f55-9372-b07ba1a924b5', 'poszkodowany'),
('2868f6e8-9f6a-47da-b1f1-e95c776d5297', 'poszkodowany'),
('cbd6f106-eba9-4bfb-8ca5-1cb25993c4bd', 'poszkodowany'),
('ecabfd7f-674b-4c85-898c-ad6509321be5', 'poszkodowany'),
('b3696630-296b-46fe-b162-15f37f67938f', 'poszkodowany'),
('47d30654-6af3-4bbd-870b-6af026ee0687', 'poszkodowany'),
('4c402af6-9d12-4e28-bf8a-a6659b15ba58', 'poszkodowany'),
('fff33a65-2015-4335-a34c-c7838153fa81', 'poszkodowany'),
('47c617bd-f164-4a18-b642-0ea434e924d5', 'poszkodowany'),
('d9361397-0c54-4f38-b3f3-89f8d6c9b577', 'poszkodowany'),
('6abf5322-4d83-4caa-a0b7-6b8e9edc1c01', 'poszkodowany'),
('bc851c74-2849-4ada-a926-ccbf5d8bf372', 'poszkodowany'),
('2a5e980e-0872-4818-9a1a-ee575b1c8db3', 'poszkodowany'),
('6d5ee8c8-b8e8-496f-8e4b-9710ae4c4762', 'poszkodowany'),
('236fd83a-923c-4c3d-99c8-a6b527096e0d', 'poszkodowany'),
('5eb60ae0-db8e-449a-bf60-eceed97b37e3', 'poszkodowany'),
('ad0073d2-ee6d-4af2-bd05-d51cd36924c3', 'poszkodowany'),
('9585923a-933a-48f0-bf8b-fc08ed34d521', 'poszkodowany'),
('4c06b689-45aa-4959-8953-6578a7e2aaa1', 'poszkodowany'),
('ee40cdf5-866a-407f-a605-0d569c219bf6', 'poszkodowany'),
('1c85aaca-f254-4974-9411-fbbf0a3f05f5', 'poszkodowany'),
('7d2a0d8e-e02d-4db6-81b2-3bf91b74eea4', 'poszkodowany'),
('db20ddae-190d-468d-a684-3cda8af95f71', 'poszkodowany'),
('a525ec54-6dce-43fd-9b90-4559a8951d29', 'poszkodowany'),
('c94c07fb-6e33-4345-8118-3a6871701b31', 'poszkodowany'),
('ca149564-f780-437f-901e-aea2ec4e08a2', 'poszkodowany'),
('c0177f56-428f-4350-a5e3-382bc26c29e3', 'poszkodowany'),
('4a66b04c-3213-4b3a-b3aa-6483fcdbfe95', 'poszkodowany'),
('17b3c5e1-7dd0-48ca-a207-86c9e496a89f', 'poszkodowany'),
('288999ed-f4a4-47cb-9b30-c9a1061edb94', 'poszkodowany'),
('65a8d95e-58eb-4eee-a547-21e21fd88780', 'poszkodowany'),
('24d49fe1-288d-462d-97af-2951f5286237', 'poszkodowany'),
('7ebe8473-38f1-4937-90c0-a1e4ed9bd7a5', 'poszkodowany'),
('3594697d-a39a-4da0-8c62-083f0835fa9c', 'poszkodowany'),
('68302677-36b7-4088-b1bc-edaef831e991', 'poszkodowany'),
('f3419991-a3e5-4df8-baf7-8e42386860e7', 'poszkodowany'),
('7d403c46-5b64-42c6-afa8-a0ac40e9ae26', 'poszkodowany'),
('95bbcc35-8f6c-4477-8e62-549758006dad', 'poszkodowany'),
('cabb80e9-268b-4e50-a2b1-d2a14e8f63d7', 'poszkodowany'),
('0e094342-8e62-40d7-b9b9-7b997d94c49b', 'poszkodowany'),
('c48e5acb-2f95-41b1-b875-816dc7564813', 'poszkodowany'),
('3e736f0c-819b-4b6e-adb4-ba8cb2b528a3', 'poszkodowany'),
('c207c76e-55e0-47fe-93f7-1af1d5b76630', 'poszkodowany'),
('688d8a87-0632-4a17-9c58-a10de611042d', 'poszkodowany'),
('2fe1ec9d-4bbf-4ff1-98c8-32653cb3540a', 'poszkodowany'),
('e51209cb-d08f-4953-9749-39d8d9310d58', 'poszkodowany'),
('0ce89886-5aae-4a5e-a37e-af6b4650973f', 'poszkodowany'),
('6c9fbc5a-3684-485c-b347-a03c38bf2d10', 'poszkodowany'),
('601e6e1b-1fd9-4aac-87ea-7998f7d2ee1d', 'poszkodowany'),
('62da30df-a40c-4ad5-bbe0-b14eb6a6081e', 'poszkodowany'),
('b98e4be8-1f91-4861-aa53-3161befd04c5', 'poszkodowany'),
('4e739d23-12bb-422c-8cc0-8a9f2fafc25e', 'poszkodowany'),
