('7eca2cdf-74fd-40c0-8962-b5590543b2f1', '3762c92b-5def-457e-b27b-c7a7b20f67db', '690b0702-63dc-49f9-ba23-c6945c9a652e', 'f9cf0475-58b3-4fa4-98cd-af34b10d71dd'),
('41ca9c26-51b9-4325-82e3-0e06e2f62913', 'c7c8c2c9-7153-4534-b780-fb0615c5d319', '99aac305-9d57-4b1e-b95e-a1b870166a90', 'fbf23ff8-e761-4263-903c-1b848354900b'),
('c3e957fa-8bc0-450d-bc18-359310cf8006', '645abd80-d95f-486c-b188-61952234007b', 'd639ab3a-bba6-4746-ba1b-c5e27d4df5cf', 'fedcf340-65b4-484a-9727-a147e61aaec0'),
('43d4cc95-fb29-4454-b353-bf64a8e426af', 'f6798786-de2c-4e92-9a3d-2c00fa1adaea', '056f1cb3-b5b0-4351-922c-cffe6b740cea', '6c5a80fc-8b42-4461-8187-fbbd4fa56f80'),
('b904ab91-75df-461b-a3e6-d6fcff44267f', 'ca1697c2-d9f1-4a15-864b-b4559fb6d465', '26c2349e-20fa-4a9b-af9c-51a7fb46448e', '2b623cf8-2c4d-4482-896a-632c78659028'),
('1b53583b-a889-4dd8-8011-578648bc9f7c', 'be86d9b4-e073-4a42-af14-c88bb86ba0eb', 'e6acae5f-9e15-4072-82a5-cdb87ffc53ce', '875133e5-8aec-48ee-bfd4-c9c2d542b5a2'),
('108c4886-cc38-41eb-93a3-f3146302f245', '9238e912-8909-46d3-9908-f4724ced014a', '012e19e1-89c4-49eb-b578-845592e633ed', '942465c5-fd78-4ce7-9f1f-301b4da8dc96'),
('9d2212d2-4145-4454-8425-78f21e882002', '51bdb03f-9abe-4878-bfc1-dd5578f72c7d', '404eb7e0-7c5d-4e9d-9e1c-b351a7eda637', 'b25d32af-977c-4282-bc3e-ba14206a5af2'),
('306e9ff7-b2d6-4f52-a93c-64c96b0c534e', '92c0d428-e93a-4a04-8ab4-ebd51919577d', 'f3e33321-eb07-4396-815b-8b1812c102ac', '1be885ad-7e68-4d1d-a461-d0ea89d8ab34'),
('82a9b35d-4612-48f9-89a3-02036cfbd5d4', 'f4eb6666-76aa-4598-8276-dd8ba781fb91', '7a1b3cba-dcaf-4d5c-b80c-36f9fb0c6c77', '8facaa3c-ac49-400b-a9d4-990eacd3f18a'),
('eea41937-959e-4c83-b0ca-83b59296213a', '5428e2dd-37b8-4a13-9d75-2b4e2269ad7f', '1e718f83-810c-4f2b-ad52-09f167b1d003', '633ab3f5-e8f1-47b8-8ce9-38f83c548790'),
('47437091-1ec4-4257-ae1b-f91642dd4e52', '8c4169a1-0cec-4fd0-b352-dbe87a8b1b6a', 'ab166ffc-63fa-4e28-a015-2e8996925a96', '83a455a0-d5e7-4643-84b8-bb563d68b5fc'),
('9136af92-da51-420f-9b4a-b1f5716d2d6d', 'fd17e893-5884-4eb7-93e5-d8e1edc6f9cc', 'c6f268a3-7f5e-4ace-b152-6200637ed096', '5e310788-5ae1-47b3-818d-2cf2f4b70b02'),
('4a29b546-82fb-4ee3-ae44-2bebb1f08545', '3e555ea0-72f1-47ae-b189-7b1cd0cd90e3', 'edcc53aa-4404-4d9c-9816-53a86e206254', '5a0155bc-a36d-4c43-b6a3-50a85db53fc9'),
