('96-677-1862', '27.160.242.239', '67-898-0437', '02-432-1467'),
('73-573-1100', '156.71.155.82', '36-623-4476', '39-477-6170'),
('41-709-2069', '240.241.86.184', '85-791-5736', '09-221-8464'),
('09-679-3038', '235.61.60.49', '37-730-6871', '18-921-4026'),
('53-777-4628', '205.83.97.141', '57-195-5748', '27-803-0566'),
('70-817-4780', '85.0.155.185', '60-929-0608', '90-818-1475'),
('14-151-9763', '208.187.39.35', '74-924-8075', '91-402-5243'),
('38-142-4251', '71.46.58.184', '44-960-1830', '58-913-4713'),
('39-870-9820', '116.242.131.28', '57-094-3474', '69-776-9530'),
('94-434-6325', '242.151.191.54', '85-051-7581', '48-583-5064'),
('32-325-4298', '137.147.79.124', '23-774-7537', '94-831-2702'),
('57-179-5153', '184.167.164.158', '89-790-9275', '15-386-3259'),
('30-065-7940', '102.123.233.3', '30-572-8199', '22-469-3635'),
('34-413-8043', '18.2.202.152', '48-213-2716', '14-615-7422'),
('00-761-7323', '236.132.178.116', '47-049-2734', '37-931-6941'),
('00-828-2245', '15.178.220.221', '20-004-1567', '26-849-4018'),
('53-365-1778', '107.197.159.151', '83-612-2950', '99-725-2961'),
('14-907-7292', '117.229.12.142', '22-601-3628', '45-868-1246'),
('90-601-6709', '225.105.45.32', '44-933-6265', '07-700-7306'),
('69-026-7036', '140.152.249.206', '46-326-9409', '09-422-6811'),
('35-433-0357', '65.122.29.213', '65-347-4183', '66-629-1216'),
('32-589-8414', '100.198.208.120', '38-018-6735', '88-428-6575'),
('16-214-9892', '97.237.18.93', '37-656-5619', '13-666-6893'),
('12-469-5602', '75.86.68.78', '65-169-2918', '11-331-6499'),
('99-096-6049', '191.236.79.116', '16-443-1046', '83-322-7953'),
('35-333-8399', '144.38.203.46', '25-654-8231', '33-558-4267'),
('53-845-0246', '181.33.205.148', '68-161-8588', '28-628-9381'),
('30-180-8525', '177.210.176.206', '89-649-3344', '81-357-1505'),
('90-411-4156', '180.111.193.174', '45-603-1851', '18-130-1241'),
('57-421-9424', '19.130.83.137', '35-307-8384', '41-034-4126'),
('35-127-2025', '80.59.172.160', '92-667-8695', '17-094-4737'),
('58-359-6272', '228.86.128.129', '67-409-1978', '19-694-9426'),
('51-070-0977', '172.225.136.133', '12-297-9637', '69-119-9081'),
('13-072-1510', '205.179.179.30', '91-254-6197', '94-348-2868'),
('44-817-5675', '61.80.37.252', '11-540-6879', '58-224-8745'),
('95-002-0386', '79.34.95.254', '39-356-9111', '16-687-1572'),
('50-363-7339', '27.64.33.194', '39-270-3323', '80-013-2912'),
('73-989-9204', '52.70.128.237', '69-546-8124', '95-453-4877'),
('66-179-4407', '238.148.196.66', '06-519-1617', '05-895-4016'),
('66-338-6763', '5.44.9.182', '40-198-9730', '08-141-0197'),
('15-977-3146', '252.112.66.164', '43-462-4331', '92-741-5278'),
('67-583-7823', '138.113.175.65', '73-526-6303', '49-255-2589'),
('45-629-1004', '244.150.197.70', '09-445-8337', '45-986-5820'),
('19-920-6972', '229.104.54.255', '59-757-3292', '96-389-0284'),
('81-259-4576', '39.18.235.82', '45-755-1055', '70-998-0615'),
('40-572-2537', '180.77.244.128', '41-929-0814', '15-113-4727'),
('76-362-9250', '50.200.195.56', '32-425-8022', '93-266-6850'),
('06-252-0061', '46.222.214.232', '52-323-5987', '61-513-9244'),
('41-889-3783', '102.214.229.57', '02-737-4025', '97-931-1053'),
('33-651-0965', '237.151.145.230', '09-537-2102', '64-684-0227'),
('33-111-9448', '102.109.87.82', '24-395-5681', '95-748-8114'),
('60-648-2138', '60.80.35.87', '62-943-9821', '77-851-7212'),
('60-331-1367', '159.127.117.231', '14-081-6752', '58-568-3047'),
('02-033-0754', '96.55.158.113', '52-869-5355', '15-469-6356'),
