('9adf1b16-c17b-4cd1-9e26-dd1dda3fd8dd', 'home'),
('2df5446b-44c9-4274-ad5e-9a5c46127958', 'bi'),
('52eaac7c-4916-4595-8a67-8273da00f704', 'bi'),
('5653bc9d-8629-47f1-a12c-04e0422f901a', 'ac'),
('e91c9638-05b7-48a3-aa15-2794dd6937f6', 'home'),
('8c55716e-6d40-4fd0-b0ba-f5b0658fc81d', 'other'),
('f1b8cf1a-5593-4921-9b9b-73967bc89401', 'home'),
('59045d1e-4e09-4ecc-b7c6-d762a5e427b6', 'ac'),
('bfb47c58-5e84-47bd-a687-e0aaee8c1b72', 'birth'),
('d4222e9a-8143-4521-85f3-b8dd261e908e', 'oc'),
('4ef92b79-0187-4926-b8ea-fe95b14c3e74', 'birth'),
('4dea66a5-a29d-4fb6-b024-dc40c9796335', 'other'),
('cd20a81c-fec8-4765-bc6f-36e3a0a3fab3', 'agricultural'),
('a9f0af16-05bf-40ea-b4f5-f52fb39f29f2', 'health'),
('e0a0c5fa-a42e-4d50-96d8-4e176a26567c', 'bi'),
('0e7493b7-f45f-4ff2-a119-11fc889cd8f9', 'oc'),
('dabf40f9-8428-4d78-99c7-3eeda5d250aa', 'oc'),
('06caab8a-e3dd-405d-a77a-1c2176a200a9', 'death'),
('f05b21e1-91af-47cb-979b-e09db690ea94', 'health'),
('4287905a-67fe-4cfd-bf66-eb61a3ae23bd', 'death'),
('e05ff683-6cf0-404f-908b-2f5ee12276cf', 'agricultural'),
('b4ee2afe-db58-4e36-9158-3a4906d3a4f0', 'death'),
('439c3889-8d6f-4f3a-89ac-2e3f5f2314b0', 'death'),
('8147f9a9-fde2-4369-b763-2949d6e72ace', 'home'),
('325ee2b6-cdb5-467a-bd60-153b9b08c2b1', 'birth'),
('1797aaee-a61b-4818-aa9e-0d72c3e3eb59', 'personal'),
('ebe4cc3f-c6b9-4e30-b253-0312e36ca217', 'company'),
('035b6730-c699-488b-8dd2-c91a85d6d20a', 'health'),
('d2fb32b8-c294-4319-8f12-ff2d0d8858d7', 'health'),
('1cfdc54b-ac1f-4511-b625-b417a634a26c', 'agricultural'),
('14802ad3-94cb-4a31-ad0b-9f8cb05b0d47', 'other'),
('7fd86d64-ff56-4318-ae41-e9b9638a193f', 'health'),
('46428c5e-98e6-48ff-9f6f-cd0c931b9a05', 'personal'),
