('70-201-1874', False),
('44-781-3328', False),
('59-078-3200', False),
('96-363-4706', False),
('01-778-1773', True),
('32-919-7469', True),
('71-250-9735', False),
('83-306-8054', False),
('65-248-6915', True),
('68-398-8148', False),
('12-042-4897', True),
('59-576-5250', False),
('33-592-9513', False),
('06-445-6280', False),
('81-471-7296', False),
('68-552-3729', False),
('29-798-0238', True),
('13-059-6204', True),
('80-292-6453', False),
('32-662-7725', False),
('37-749-0499', True),
('74-476-5593', False),
('26-594-1571', True),
('36-917-2654', True),
('40-765-7193', False),
('45-215-0490', True),
('55-732-0807', True),
('47-339-2145', False),
('01-696-4409', True),
('84-467-3949', False),
('39-518-0277', True),
('93-491-0507', True),
('46-261-7911', True),
('02-209-8354', True),
('99-791-8530', True),
('46-006-0613', False),
('41-318-2245', False),
('59-108-7891', True),
('93-853-8644', False),
('94-900-7328', False),
('74-760-8556', False),
('37-642-0547', True),
('94-653-1970', False),
('07-825-3598', False),
('10-844-2900', False),
('66-567-5097', False),
('03-922-6093', True),
('72-335-9610', True),
('48-942-7219', False),
('82-988-4339', False),
('93-568-0080', True),
('32-064-4264', True),
('50-662-5699', True),
('33-353-7846', False),
('03-959-0147', True),
('58-558-7902', False),
('44-813-4381', False),
('88-085-6571', False),
('40-598-9672', True),
('76-998-1066', True),
('75-657-6075', True),
('84-889-6493', True),
('97-873-0019', True),
('40-589-0259', False),
('20-115-4943', True),
('23-575-1990', False),
('36-288-1467', False),
('27-801-4109', False),
('58-941-1444', False),
('78-051-4194', False),
('42-730-4958', False),
('83-800-8358', True),
('64-611-1949', False),
('83-465-6273', False),
('30-447-1998', False),
('53-076-2483', True),
('37-336-4129', True),
('75-123-3498', True),
('10-459-3904', True),
('98-768-9897', False),
('26-632-3554', True),
('06-792-1119', False),
('20-068-8840', True),
('73-468-1383', False),
('58-148-7120', True),
('60-645-4465', True),
('11-968-0045', True),
('17-324-8055', False),
('79-950-1478', True),
('21-316-2600', False),
('97-233-6502', False),
('76-390-3673', False),
('15-922-6446', False),
('04-916-3028', True),
('08-663-0276', False),
('10-002-6613', True),
('85-604-9556', False),
('98-303-2929', True),
('09-415-1723', False),
('02-642-6213', False),
('44-852-9190', True),
('63-046-6198', True),
('38-395-4207', True),
('92-225-2699', False),
('03-290-9006', False),
('36-497-9405', False),
('28-745-9430', False),
('80-747-0733', True),
('45-372-2308', False),
('89-592-4047', False),
('86-579-8178', True),
('93-546-1532', False),
('60-654-8599', False),
('16-439-3557', False),
('05-251-5995', False),
('57-524-5255', False),
('83-938-1265', False),
('37-098-0438', False),
('16-205-0656', True),
('74-775-5406', False),
('98-331-5774', False),
('24-924-9279', False),
('28-820-9825', True),
('18-213-0995', True),
('25-789-9363', False),
('61-779-3380', False),
('21-585-5599', True),
('32-969-1091', True),
('62-441-4595', False),
('08-461-6182', True),
('24-578-3833', False),
('56-905-1332', True),
('41-466-4118', False),
('07-018-0894', False),
('38-589-5199', False),
('72-141-7266', True),
('15-751-1584', True),
('30-652-1849', True),
('43-334-4851', False),
('43-339-9296', False),
('35-369-0928', False),
('28-876-9254', True),
('62-193-9445', True),
('49-877-8479', False),
('13-011-3786', False),
('83-968-5447', True),
('48-153-6583', True),
('92-167-1871', True),
('18-512-1829', True),
('11-912-7356', False),
('85-968-7783', False),
('83-054-2593', False),
('87-975-3016', False),
('12-275-8414', False),
('13-489-0149', False),
('68-579-6261', True),
('69-891-1919', False),
('28-937-5003', True),
('41-949-7932', True),
('23-459-0351', True),
('90-386-0418', False),
('87-276-0200', False),
('58-082-6605', False),
('79-562-6599', False),
('26-596-0560', False),
('77-423-6395', True),
('19-241-3872', False),
('58-769-2045', True),
('66-576-8903', True),
('80-812-9981', True),
('19-778-4919', True),
('28-288-5512', True),
('63-665-1753', True),
('99-170-1715', True),
('73-639-2043', False),
('20-970-0518', True),
('75-061-3372', False),
('07-442-1159', True),
('66-339-6630', True),
('71-361-9359', False),
('87-546-6407', False),
('97-554-6973', True),
('35-993-9696', True),
('01-220-2227', True),
('36-499-0843', False),
('73-585-8014', True),
('33-938-7193', True),
('76-378-4985', False),
('64-925-1910', True),
('22-121-5870', True),
('43-726-9978', False),
('58-292-9275', False),
('20-736-6582', False),
('04-915-4799', False),
('86-181-9180', False),
('06-831-8113', True),
('71-302-9584', False),
('19-290-4839', True),
('24-795-7646', False),
