('0d5b1b2b-a704-49bf-93d0-abf1fc352e6d', 'opis_zdarzenia', True),
('a91f785f-db36-469b-b057-03428b299ba3', 'opis_zdarzenia', True),
('5fce3af9-15e3-4a9b-98f9-fa46518bd371', 'opis_zdarzenia', True),
('02db7355-6d6c-4c37-88ff-e3fa6fa2773a', 'opis_zdarzenia', True),
('3d91d44f-5314-4be2-a4f5-a147553ea10f', 'opis_zdarzenia', True),
('f74962c4-0a1e-4e1b-b283-d15c99eb095b', 'opis_zdarzenia', True),
('f0f0c32b-809b-434e-b87b-858762b34585', 'opis_zdarzenia', True),
('6800920f-6637-4e92-9cca-8e38659c5c7f', 'opis_zdarzenia', True),
('cdf6da57-d579-407f-86f8-5edc3e3a3441', 'opis_zdarzenia', True),
('b7278c5d-3a52-4a09-b65f-d917bd6d72a4', 'opis_zdarzenia', True),
('dad768cc-a98b-4bf6-9894-eda883d721a4', 'opis_zdarzenia', True),
('8d778ebe-af8e-4c3f-beec-15b4659bb90b', 'opis_zdarzenia', True),
('3aab7e41-d23d-4a3b-8945-10b059a0795e', 'opis_zdarzenia', True),
('26d44ebe-5958-49c0-b036-4a2f0f31979e', 'opis_zdarzenia', True),
('27ecc6ba-176c-47d4-93b2-66ffe5552009', 'opis_zdarzenia', True),
('f8b02991-3b0b-4c7f-a644-9b25e4d54c23', 'opis_zdarzenia', True),
('b6e82883-546c-424f-9df4-64cdab739550', 'opis_zdarzenia', True),
('265b9175-31c2-443f-8974-3d1ea2a94f70', 'opis_zdarzenia', True),
('e4cd86ad-8022-4d3d-856c-3f2f8948bd72', 'opis_zdarzenia', True),
('5126ecde-7f39-40b3-bf13-63f611a18b9f', 'opis_zdarzenia', True),
('304551ce-7ede-4e04-8996-beab6fa7a8a9', 'opis_zdarzenia', True),
('43e4ed3c-b652-46af-aafb-c9bd07d1e2c0', 'opis_zdarzenia', True),
('8f6a3547-fbfa-4ac1-8c3e-328f29351f4b', 'opis_zdarzenia', True),
('d107ab1a-cdd7-47b4-a75e-14cfa1c6d73d', 'opis_zdarzenia', True),
('1ce66285-b415-40fc-8b92-f87e94ad09b3', 'opis_zdarzenia', True),
('5dba7870-8e48-4221-bc70-ed79ce01896e', 'opis_zdarzenia', True),
('10e65be2-8120-4047-a042-6e00307e3058', 'opis_zdarzenia', True),
('b4bca852-a191-40fe-a683-8c1dcc3fde21', 'opis_zdarzenia', True),
('34d7a7f6-6d5c-4468-b8cc-55bcc245d771', 'opis_zdarzenia', True),
('b6a5634e-ad09-416b-8d41-c767eef0a015', 'opis_zdarzenia', True),
('e0233c58-5d16-4c4e-bf1d-a69193af1666', 'opis_zdarzenia', True),
('119aa404-0cd0-48ba-b612-f7b1764c35f5', 'opis_zdarzenia', True),
('34c10099-3a00-42e4-8811-7b934f02eabf', 'opis_zdarzenia', True),
('6a35fb6e-ec5b-4f8d-b34e-a9ea2d10153d', 'opis_zdarzenia', True),
('457169ee-156e-4961-bb4f-2f42e4f73bd7', 'opis_zdarzenia', True),
('41bcfa9f-560e-44ef-9a03-05c9d54e4f02', 'opis_zdarzenia', True),
('6be5243f-9534-4188-87c0-2672dc4c4a26', 'opis_zdarzenia', True),
('fec24483-cf7b-439a-90ec-180d8225626d', 'opis_zdarzenia', True),
('799ea0ba-360d-4b74-a01b-d2bdfa394de5', 'opis_zdarzenia', True),
('ff827ebe-1bfa-4ef7-921e-1b240be0610d', 'opis_zdarzenia', True),
('514ac423-6243-4c61-a196-f8be5069a1f1', 'opis_zdarzenia', True),
('fe6202e9-3cb7-4da0-8c6e-2d4b625f7726', 'opis_zdarzenia', True),
('24b6ed50-b08c-4a36-ac0b-b07630b3a7e2', 'opis_zdarzenia', True),
('80d80682-43e6-402a-83ef-b2293f31ff43', 'opis_zdarzenia', True),
('79980dcf-1949-4802-9583-d3fb781132cd', 'opis_zdarzenia', True),
('1dc36de6-e689-42c9-8c17-0a34896a6546', 'opis_zdarzenia', True),
('5a5ea8f0-dda4-4e79-936c-218a0ac9da62', 'opis_zdarzenia', True),
('c32c9038-159b-4153-8faa-4d47009da679', 'opis_zdarzenia', True),
('dd092c35-05ea-49f7-8bc9-0855d4b24eeb', 'opis_zdarzenia', True),
('462da3c4-99c6-4c36-94b8-46aa53749522', 'opis_zdarzenia', True),
('5020a28a-2575-48bf-9653-c3d19d1c30b3', 'opis_zdarzenia', True),
('3a8b6f25-d514-42fc-8418-d68aa45913d7', 'opis_zdarzenia', True),
('378ef772-af36-4200-8842-95c9f040f810', 'opis_zdarzenia', True),
('ad1b948f-0c80-472d-903a-bfe4c18edc18', 'opis_zdarzenia', True),
('d324926d-2ce5-4436-a28b-af2ebb06185e', 'opis_zdarzenia', True),
('26bf9332-2ee9-4df2-b0e7-c15f74998023', 'opis_zdarzenia', True),
('8c3cf3bc-10a5-41f1-b7e2-633a27bafde3', 'opis_zdarzenia', True),
('a3f7d7cd-c9ce-48b8-98db-4d03d8f7cad8', 'opis_zdarzenia', True),
('fafcf2fd-b9d8-4ba7-86e9-123f33925846', 'opis_zdarzenia', True),
('79747b05-aba6-4f18-abd4-ba607aea30b4', 'opis_zdarzenia', True),
('8c172601-9d98-4599-933b-f90706e902b6', 'opis_zdarzenia', True),
('bbdcc364-c87c-4310-86ef-32c64a551765', 'opis_zdarzenia', True),
('17df2a84-1290-451e-9b75-843425ec8f3f', 'opis_zdarzenia', True),
('2f343817-86b9-4f7b-b082-d15e1868e30b', 'opis_zdarzenia', True),
('1b11c5a4-760f-4be4-8d27-e26c42e217bd', 'opis_zdarzenia', True),
('ea17d9da-1022-49a1-8413-307ffb4bd174', 'opis_zdarzenia', True),
('44e2d63c-8437-4190-97f1-62bdd0c3b376', 'opis_zdarzenia', True),
('b02f120d-93aa-4ad7-9ca3-8e3f58c023c2', 'opis_zdarzenia', True),
('0e805f14-1fdb-48b8-a857-e785e20ef54d', 'opis_zdarzenia', True),
('f2ffdfcc-699d-406e-9492-9004652af451', 'opis_zdarzenia', True),
('c3ce46df-ed51-444f-84ea-5191ad398656', 'opis_zdarzenia', True),
('71fea82f-98a5-412e-80b7-ae4d65e650d6', 'opis_zdarzenia', True),
('3b6a7aa1-d82d-430a-b3a1-4bb3072ca442', 'opis_zdarzenia', True),
('f39491d6-a120-4c59-a5b1-faadf2d22b25', 'opis_zdarzenia', True),
('43ebd15c-ae81-4236-be50-38d0f0a74f04', 'opis_zdarzenia', True),
('a0d6a871-a384-4f6d-86e6-dbf03315d657', 'opis_zdarzenia', True),
('8ac7d050-2d50-4c20-8b1e-2587ed591a9f', 'opis_zdarzenia', True),
('6c37fe2d-695b-4cd5-aa22-ecf582a68509', 'opis_zdarzenia', True),
('46bcdfbc-421c-4f2e-a506-96cbe221dd79', 'opis_zdarzenia', True),
('2da6b1ff-d49c-4ad9-a1ad-aa64fce6b41b', 'opis_zdarzenia', True),
('85cb18d2-8696-4331-b9b4-8acdc326aeea', 'opis_zdarzenia', True),
('54fa5490-7c27-4874-9e79-f7bcbf9849d0', 'opis_zdarzenia', True),
('822988c0-f41d-460f-8d92-47b5bc24323f', 'opis_zdarzenia', True),
('0f335b01-58ec-4001-8399-daeba808e6d5', 'opis_zdarzenia', True),
