('4024b02d-cb42-4138-83e7-017ecf2948af', 'ALL'),
('b59b257e-70c0-41db-a9ca-dbd4e6811332', 'admin'),
('5a3db665-10c2-49a0-82c1-58767fd9e1e3', 'ALL'),
('d410c713-faf9-4430-a75f-34b7cb34b091', 'ALL'),
('ea74edd9-b22f-457a-b42b-e753ec06c89b', 'ALL'),
('aefa55f7-722e-4f10-9972-8f2e891f1e72', 'ALL'),
('09dacc60-9050-40fb-8d1c-44918246a9c9', 'ALL'),
('ae24e4a6-27aa-4195-bbfb-1f1e23a3848e', 'ALL'),
('db4daf74-a780-4b56-9583-502d8a9ab993', 'ALL'),
('6b91360c-b154-4db5-8b97-a8a761fd0755', 'ALL'),
('4505df52-4684-46f6-906c-dfd044896a52', 'ALL'),
('1da31cea-b206-426d-b748-573046e8c396', 'ALL'),
('390f9cb7-b495-4e9b-9c56-d2587151f013', 'ALL'),
('2a141f9c-1b60-4cf7-9ba2-1446a1e190aa', 'ALL'),
('84320dc9-6887-4a75-9422-1382d9af3b8c', 'ALL'),
('47459993-8518-4c3d-8a87-e05b3d3ce012', 'ALL'),
('5d651439-769f-44a2-a768-4d15ca04b32c', 'ALL'),
('cc552dde-2603-4cd7-8bcf-8e3793eec0e4', 'ALL'),
('6ddd37e6-7e43-4bca-8b77-92e7e1249f86', 'ALL'),
('a7dea0e5-b3e4-4c70-b76b-d663267ae49f', 'ALL'),
('0b1769f9-c9cf-41c4-aa26-0a9bc79855d2', 'ALL'),
('4ceffc32-f17a-4b42-be34-48087d5c7e82', 'ALL'),
('4adbe467-bbc7-44f7-9f74-53ecc5a1ed2e', 'ALL'),
('c6794186-1321-46cd-a4b9-33719002f5ac', 'ALL'),
('42f3d199-5bd7-436e-a430-bb072aa7e945', 'ALL'),
('5238c3f8-5a08-4313-a08b-85b8063e5ba8', 'ALL'),
('cd53980f-cb73-4a95-b0e6-038c6fefc4ea', 'ALL'),
('4ce39d73-2f39-4e6d-b99a-8a06b9ea2cc2', 'ALL'),
('f64451b4-0036-4b75-9389-a2cb6811a5ea', 'ALL'),
('ba510962-4e07-4045-ab0b-a19e47f65960', 'ALL'),
('5ed30e73-ecf3-485d-bf8b-23707766faaa', 'ALL'),
('514d1fe1-d0f0-49d8-8598-e67dbb6bce9a', 'ALL'),
('5fa65895-a46c-4b68-93e3-6c476dcdfb01', 'ALL'),
